Vendor,Material Number,Vendor material Description,Manufacturer Material,Substitute Material,Ven. Part. Desc.,Customer Price,Avail. Flag,Available Qnty,Matl Stat.,Part Type,Media Type,Retail Price,Rebate Price,Rebate ST. Date,Rebate EN. Date,UPC Code,Planned Deliv. Time,Apple Material Description 
''0400001593,HQ6Q2PA/A,LG/914-000073,914-000073,,LOGITECH CRAYON SILVER-PAC,228.53,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,LOGITECH CRAYON SILVER-PAC 
''0400001593,HQEY2PA/A,LG/920-011370,920-011370,,LOGITECH COMBO TOUCH IPAD 10TH GEN-,554.52,Y,16.000,,,,,0.00,19700101,19700101,''745883702015,14,LOGITECH COMBO TOUCH IPAD 10TH GEN-PAC 
''0400001593,HQZQ2ZM/A,BK/CAB010DS1MWH,CAB010ds1MWH,,BELKIN USB-A TO USB-C CABLE (1M),33.84,Y,48.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USB-A TO USB-C CABLE (1M)-ZML 
''0400001593,HR262ZM/A,BK/OVA127DSAPL,OVA127dsAPL,,BELKIN ULTRAGLASS IPHONE 15-ZML,69.15,Y,40.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN ULTRAGLASS IPHONE 15-ZML 
''0400001593,HR282ZM/A,BK/OVA128DSAPL,OVA128dsAPL,,BELKIN ULTRAGLASS IPHONE 15 PLUS-ZM,69.31,Y,40.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN ULTRAGLASS IPHONE 15 PLUS-ZML 
''0400001593,HR2A2ZM/A,BK/OVA129DSAPL,OVA129dsAPL,,BELKIN ULTRAGLASS IPHONE 15 PRO-ZML,69.27,Y,80.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN ULTRAGLASS IPHONE 15 PRO-ZML 
''0400001593,HR2C2ZM/A,BK/OVA130DSAPL,OVA130dsAPL,,BELKIN ULTRAGLASS  IPHONE 15 PRO MA,69.30,Y,120.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN ULTRAGLASS  IPHONE 15 PRO MAX-ZML 
''0400001593,HR2X2B/A,MP/401312331,401312331,,MOPHIE 3-IN-1 TRAVEL CHARGER MAGSAF,500.18,Y,48.000,,,,,0.00,19700101,19700101,''745883702015,14,MOPHIE 3-IN-1 TRAVEL CHARGER MAGSAFE-GBR 
''0400001593,HR7R2ZM/A,BK/CAB011DS3MWH,CAB011ds3MWH,,BELKIN USB-C TO USB-C CABLE 3M - WT,65.74,Y,24.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USB-C TO USB-C CABLE 3M - WT-ZML 
''0400001593,HR852ZM/A,BK/F2CD081DS1M-BLK,F2CD081ds1M-BLK,,BELKIN THUNDERBOLT 3 CABLE 1M - BK,109.86,Y,24.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN THUNDERBOLT 3 CABLE 1M - BK-ZML 
''0400001593,HR862ZM/A,BK/WCZ002DSWH-APL,WCZ002dsWH-APL,,BELKIN USB-C DATA + CHARGE ADAPTER,181.60,Y,12.000,,,,,0.00,19700101,19700101,''745883702015,14,BELKIN USB-C DATA + CHARGE ADAPTER-ZML 
