ScreenName	FieldName	DefaultText	NewText	HeaderHeight	HeaderWidth	ValueHeight	ValueWidth	HAlignment	HForeColor	HBackColor	VForeColor	VBackColor	VAlignment	HFont	HFontSize	HFontStyle	VFont	VFontSize	VFontStyle	DisplayNo	HForeColorName	HBackColorName	VForeColorName	VBackColorName	DataMember	IsHidden	Language	DefaultValue	Visible	SolutionName	ts	FieldControl	ShowBorder	BorderColor	DataMemberType	LineIndex	AccessLevel
NewCustomer	BillAdd2	Bill Address2	Bill Address2	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	13	White	Red	White	Red	BillAdd2	NULL	English		NULL	SALES	0x0000000000000B98	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	BillAdd3	Bill Address3	Bill Address3	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	14	White	Red	White	Red	BillAdd3	NULL	English		NULL	SALES	0x0000000000000B99	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	city	City	City	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	6.1	White	Red	White	Red	city	NULL	English		NULL	SALES	0x0000000000000C34	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	pin	Postal Code	DeliveryPostal Code	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	6.2	White	Red	White	Red	pin	NULL	English		NULL	SALES	0x0000000000000C35	TEXTBOX	NULL	-16777216	NUMBER	NULL	NULL
FormCustomer	GSTCustGroup	Customer Group	Sales Channel	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	8.1	White	Red	White	Red	GSTCustGroup	NULL	English		NULL	SALES	0x0000000000000C36	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	BillAdd4	Bill Address4	Bill Address4	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	14.2	White	Red	White	Red	BillAdd4	NULL	English		NULL	SALES	0x0000000000000C1F	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	BillPin	Bill Pin	Bill Postal Code	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	16.1	White	Red	White	Red	BillPin	NULL	English		NULL	SALES	0x0000000000000BC4	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	DeliveryCode	Delivery Code	Delivery Code	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	16.2	White	Red	White	Red	DeliveryCode	NULL	English		NULL	SALES	0x0000000000000BC5	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	DeptCode	DeptCode	Department	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	8.2	White	Red	White	Red	DeptCode	NULL	English		NULL	SALES	0x0000000000000C3C	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	CancelBtn	CancelBtn	Cancel	30	10	30	10	2	-1	-14737633	-14737633	16718362	3	Tahoma	16	0	Tahoma	14	0	19.1	White	Red	White	Red	EditBtn	NULL	English	EDIT	NULL	SALES	0x0000000000000BC7	BUTTON	NULL	-16777216	STRING	4	NULL
FormCustomer	SaveBtn	SaveBtn	Save	30	10	30	10	2	-1	-14737633	-14737633	45824	3	Tahoma	21	0	Tahoma	14	0	19.2	White	Red	White	Red	SaveBtn	NULL	English	 SAVE 	NULL	SALES	0x0000000000000BC8	BUTTON	NULL	-16777216	STRING	2	4
FormCustomer	BillAdd1	Bill Address1	Bill to Address	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	12.1	White	Red	White	Red	BillAdd1	NULL	English		NULL	SALES	0x0000000000000C2A	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	BillAdd2	Bill Address2	Bill Address2	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	12.2	White	Red	White	Red	BillAdd2	NULL	English		NULL	SALES	0x0000000000000C25	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	BillAdd3	Bill Address3	Bill Address3	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	14.1	White	Red	White	Red	BillAdd3	NULL	English		NULL	SALES	0x0000000000000C24	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	Line		Line	30	40	30	60	0	0	-14737633	-1	-14737633	0	Tahoma	16	0	Tahoma	18	0	1	White	Red	White	Red		NULL	English		NULL	SALES	0x0000000000000BCD	LINE	NULL	-16777216	STRING	1	NULL
FormCustomer	CustomerName	Name	Company	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	2.1	White	Red	White	Red	CustomerName	NULL	English		NULL	SALES	0x0000000000000C08	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	Nickname	Nick Name	Nick Name	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	2.2	White	Red	White	Red	Nickname	NULL	English		NULL	SALES	0x0000000000000C07	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	Address	Address	Delivery Address	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	4.1	White	Red	White	Red	Address	NULL	English		NULL	SALES	0x0000000000000C06	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormCustomer	Address2		Delivery Address 2	30	20	30	30	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	4.2	White	Red	White	Red	Address2	NULL	English		NULL	SALES	0x0000000000000C05	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	city	City	City	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	6	White	Red	White	Red	city	NULL	English		NULL	SALES	0x0000000000000C09	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	pin	Postal Code	DeliveryPostal Code	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	7	White	Red	White	Red	pin	NULL	English		NULL	SALES	0x0000000000000C0A	TEXTBOX	NULL	-16777216	NUMBER	NULL	NULL
FormStatus	GSTCustGroup	Customer Group	Sales Channel	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	8	White	Red	White	Red	GSTCustGroup	NULL	English		NULL	SALES	0x0000000000000C0B	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	StockTakeRequired	Stock Take	Stock Take	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	9	White	Red	White	Red	StockTakeRequired	NULL	English		NULL	SALES	0x0000000000000C0C	LABEL	NULL	-16777216	STRING	NULL	NULL
FormStatus	Merchandising	Merchandize	Merchandize	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	10	White	Red	White	Red	Merchandising	NULL	English		NULL	SALES	0x0000000000000C0D	LABEL	NULL	-16777216	STRING	NULL	NULL
FormStatus	RoutePattern	Visit Pattern	Visit Pattern	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	11	White	Red	White	Red	RoutePattern	NULL	English		NULL	SALES	0x0000000000000C0E	LABEL	NULL	-16777216	STRING	NULL	NULL
FormStatus	BillAdd4	Bill Address4	Bill Address4	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	15	White	Red	White	Red	BillAdd4	NULL	English		NULL	SALES	0x0000000000000C0F	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
