Item No,Location,Lot No,Qty,UOM
2758573,DRY,ABA-2210-22992,27,CTN
51062555,FROZEN,CPI-2211-10967,48,CUP
51062556,FROZEN,CPI-2211-10968,48,CUP
51073731,FROZEN,CPI-2212-11909,740,BAG
CVD-HBRWNSTIX,FROZEN,SEJ-2302-12764,6,BAG
FP-GRILLONTM,FROZEN,SEJ-2211-11311,385,BAG
IMP-CHKBBKVS6/2,FROZEN,SEJ-2209-10268,6,BAG
SEJ-DUKBSMDL200/14PM,FROZEN,SEJ-2401-18483,658,BOX
SEJ-DUKBSRST140-180,FROZEN,SEJ-2401-18484,1080,KG
SEJ-DUKBSRST140-180,FROZEN,SEJ-2401-18486,760,KG
TBWW,DRY,ABA-2210-L0127,15,SACK
