Vendor Code,PO No,Item No,Default Bin,Qty,Location
TD15,PO00000165,745883827282,,9.000000,WH01-SL
TM01,PO00000169,745883827282,,1.000000,WH01-SL
TM01,PO00000171,745883830985,,1.000000,WH01-SL
TD15,PO00000173,745883830985,,5.000000,WH01-SL
TM01,PO00000174,810006542578,,1.000000,WH01-SL
